feature,feature_importance
EPOCH_32_WELCH_8_EEG_BP_1_2_relative,0
EPOCH_32_WELCH_8_EEG_BP_2_3_relative,0
EPOCH_32_WELCH_8_EEG_BP_3_4_relative,0
EPOCH_32_WELCH_8_EEG_BP_4_5_relative,3
EPOCH_32_WELCH_8_EEG_BP_5_6_relative,0
EPOCH_32_WELCH_8_EEG_BP_6_7_relative,0
EPOCH_32_WELCH_8_EEG_BP_7_8_relative,0
EPOCH_32_WELCH_8_EEG_BP_8_9_relative,0
EPOCH_32_WELCH_8_EEG_BP_9_10_relative,0
EPOCH_32_WELCH_8_EEG_BP_10_11_relative,0
EPOCH_32_WELCH_8_EEG_BP_11_12_relative,0
EPOCH_32_WELCH_8_EEG_BP_12_13_relative,0
EPOCH_32_WELCH_8_EEG_BP_13_14_relative,0
EPOCH_32_WELCH_8_EEG_BP_14_15_relative,8
EPOCH_32_WELCH_8_EEG_BP_15_16_relative,4
EPOCH_32_WELCH_8_EEG_BP_16_17_relative,0
EPOCH_32_WELCH_8_EEG_BP_17_18_relative,0
EPOCH_32_WELCH_8_EEG_BP_18_19_relative,0
EPOCH_32_WELCH_8_EEG_BP_19_20_relative,0
EPOCH_32_WELCH_8_EEG_BP_20_21_relative,0
EPOCH_32_WELCH_8_EEG_BP_21_22_relative,0
EPOCH_32_WELCH_8_EEG_BP_22_23_relative,1
EPOCH_32_WELCH_8_EEG_BP_23_24_relative,0
EPOCH_32_WELCH_8_EEG_BP_24_25_relative,0
EPOCH_32_WELCH_8_EEG_BP_25_26_relative,3
EPOCH_32_WELCH_8_EEG_BP_26_27_relative,0
EPOCH_32_WELCH_8_EEG_BP_27_28_relative,0
EPOCH_32_WELCH_8_EEG_BP_28_29_relative,0
EPOCH_32_WELCH_8_EEG_BP_29_30_relative,0
EPOCH_32_WELCH_8_EEG_BP_30_31_relative,0
EPOCH_32_WELCH_8_EEG_perm,0
EPOCH_32_WELCH_8_EEG_higuchi,0
EPOCH_32_WELCH_8_EEG_petrosian,0
EPOCH_32_WELCH_16_EEG_std,0
EPOCH_32_WELCH_16_EEG_iqr,0
EPOCH_32_WELCH_16_EEG_skew,0
EPOCH_32_WELCH_16_EEG_kurt,0
EPOCH_32_WELCH_16_EEG_nzc,0
EPOCH_32_WELCH_16_EEG_hmob,0
EPOCH_32_WELCH_16_EEG_hcomp,0
EPOCH_32_WELCH_16_EEG_BP_0_0.5,0
EPOCH_32_WELCH_16_EEG_BP_0.5_1,0
EPOCH_32_WELCH_16_EEG_BP_1_2,39
EPOCH_32_WELCH_16_EEG_BP_2_3,0
EPOCH_32_WELCH_16_EEG_BP_3_4,0
EPOCH_32_WELCH_16_EEG_BP_4_5,0
EPOCH_32_WELCH_16_EEG_BP_5_6,0
EPOCH_32_WELCH_16_EEG_BP_6_7,0
EPOCH_32_WELCH_16_EEG_BP_7_8,0
EPOCH_32_WELCH_16_EEG_BP_8_9,0
EPOCH_32_WELCH_16_EEG_BP_9_10,0
EPOCH_32_WELCH_16_EEG_BP_10_11,0
EPOCH_32_WELCH_16_EEG_BP_11_12,0
EPOCH_32_WELCH_16_EEG_BP_12_13,0
EPOCH_32_WELCH_16_EEG_BP_13_14,0
EPOCH_32_WELCH_16_EEG_BP_14_15,0
EPOCH_32_WELCH_16_EEG_BP_15_16,0
EPOCH_32_WELCH_16_EEG_BP_16_17,0
EPOCH_32_WELCH_16_EEG_BP_17_18,0
EPOCH_32_WELCH_16_EEG_BP_18_19,0
EPOCH_32_WELCH_16_EEG_BP_19_20,0
EPOCH_32_WELCH_16_EEG_BP_20_21,0
EPOCH_32_WELCH_16_EEG_BP_21_22,0
EPOCH_32_WELCH_16_EEG_BP_22_23,0
EPOCH_32_WELCH_16_EEG_BP_23_24,0
EPOCH_32_WELCH_16_EEG_BP_24_25,0
EPOCH_32_WELCH_16_EEG_BP_25_26,0
EPOCH_32_WELCH_16_EEG_BP_26_27,0
EPOCH_32_WELCH_16_EEG_BP_27_28,0
EPOCH_32_WELCH_16_EEG_BP_28_29,0
EPOCH_32_WELCH_16_EEG_BP_29_30,0
EPOCH_32_WELCH_16_EEG_BP_30_31,0
EPOCH_32_WELCH_16_EEG_abspow,195
EPOCH_32_WELCH_16_EEG_BP_0_0.5_std,27
EPOCH_32_WELCH_16_EEG_BP_0.5_1_std,61
EPOCH_32_WELCH_16_EEG_BP_1_2_std,0
EPOCH_32_WELCH_16_EEG_BP_2_3_std,8
EPOCH_32_WELCH_16_EEG_BP_3_4_std,0
EPOCH_32_WELCH_16_EEG_BP_4_5_std,0
EPOCH_32_WELCH_16_EEG_BP_5_6_std,0
EPOCH_32_WELCH_16_EEG_BP_6_7_std,0
EPOCH_32_WELCH_16_EEG_BP_7_8_std,4
EPOCH_32_WELCH_16_EEG_BP_8_9_std,4
EPOCH_32_WELCH_16_EEG_BP_9_10_std,2
EPOCH_32_WELCH_16_EEG_BP_10_11_std,0
EPOCH_32_WELCH_16_EEG_BP_11_12_std,0
EPOCH_32_WELCH_16_EEG_BP_12_13_std,0
EPOCH_32_WELCH_16_EEG_BP_13_14_std,0
EPOCH_32_WELCH_16_EEG_BP_14_15_std,3
EPOCH_32_WELCH_16_EEG_BP_15_16_std,0
EPOCH_32_WELCH_16_EEG_BP_16_17_std,0
EPOCH_32_WELCH_16_EEG_BP_17_18_std,0
EPOCH_32_WELCH_16_EEG_BP_18_19_std,0
EPOCH_32_WELCH_16_EEG_BP_19_20_std,0
EPOCH_32_WELCH_16_EEG_BP_20_21_std,0
EPOCH_32_WELCH_16_EEG_BP_21_22_std,0
EPOCH_32_WELCH_16_EEG_BP_22_23_std,0
EPOCH_32_WELCH_16_EEG_BP_23_24_std,2
EPOCH_32_WELCH_16_EEG_BP_24_25_std,0
EPOCH_32_WELCH_16_EEG_BP_25_26_std,0
EPOCH_32_WELCH_16_EEG_BP_26_27_std,0
EPOCH_32_WELCH_16_EEG_BP_27_28_std,0
EPOCH_32_WELCH_16_EEG_BP_28_29_std,0
EPOCH_32_WELCH_16_EEG_BP_29_30_std,0
EPOCH_32_WELCH_16_EEG_BP_30_31_std,0
EPOCH_32_WELCH_16_EEG_BP_0_0.5_relative,0
EPOCH_32_WELCH_16_EEG_BP_0.5_1_relative,0
EPOCH_32_WELCH_16_EEG_BP_1_2_relative,105
EPOCH_32_WELCH_16_EEG_BP_2_3_relative,62
EPOCH_32_WELCH_16_EEG_BP_3_4_relative,30
EPOCH_32_WELCH_16_EEG_BP_4_5_relative,12
EPOCH_32_WELCH_16_EEG_BP_5_6_relative,5
EPOCH_32_WELCH_16_EEG_BP_6_7_relative,0
EPOCH_32_WELCH_16_EEG_BP_7_8_relative,0
EPOCH_32_WELCH_16_EEG_BP_8_9_relative,0
EPOCH_32_WELCH_16_EEG_BP_9_10_relative,0
EPOCH_32_WELCH_16_EEG_BP_10_11_relative,0
EPOCH_32_WELCH_16_EEG_BP_11_12_relative,0
EPOCH_32_WELCH_16_EEG_BP_12_13_relative,8
EPOCH_32_WELCH_16_EEG_BP_13_14_relative,8
EPOCH_32_WELCH_16_EEG_BP_14_15_relative,0
EPOCH_32_WELCH_16_EEG_BP_15_16_relative,0
EPOCH_32_WELCH_16_EEG_BP_16_17_relative,0
EPOCH_32_WELCH_16_EEG_BP_17_18_relative,0
EPOCH_32_WELCH_16_EEG_BP_18_19_relative,0
EPOCH_32_WELCH_16_EEG_BP_19_20_relative,4
EPOCH_32_WELCH_16_EEG_BP_20_21_relative,0
EPOCH_32_WELCH_16_EEG_BP_21_22_relative,0
EPOCH_32_WELCH_16_EEG_BP_22_23_relative,3
EPOCH_32_WELCH_16_EEG_BP_23_24_relative,0
EPOCH_32_WELCH_16_EEG_BP_24_25_relative,0
EPOCH_32_WELCH_16_EEG_BP_25_26_relative,0
EPOCH_32_WELCH_16_EEG_BP_26_27_relative,0
EPOCH_32_WELCH_16_EEG_BP_27_28_relative,0
EPOCH_32_WELCH_16_EEG_BP_28_29_relative,0
EPOCH_32_WELCH_16_EEG_BP_29_30_relative,0
EPOCH_32_WELCH_16_EEG_BP_30_31_relative,1
EPOCH_32_WELCH_16_EEG_perm,0
EPOCH_32_WELCH_16_EEG_higuchi,0
EPOCH_32_WELCH_16_EEG_petrosian,0
EPOCH_64_WELCH_1_EEG_std,66
EPOCH_64_WELCH_1_EEG_iqr,0
EPOCH_64_WELCH_1_EEG_skew,12
EPOCH_64_WELCH_1_EEG_kurt,457
EPOCH_64_WELCH_1_EEG_nzc,0
EPOCH_64_WELCH_1_EEG_hmob,0
EPOCH_64_WELCH_1_EEG_hcomp,0
EPOCH_64_WELCH_1_EEG_BP_0_0.5,0
EPOCH_64_WELCH_1_EEG_BP_0.5_1,0
EPOCH_64_WELCH_1_EEG_BP_1_2,0
EPOCH_64_WELCH_1_EEG_BP_2_3,0
EPOCH_64_WELCH_1_EEG_BP_3_4,35
EPOCH_64_WELCH_1_EEG_BP_4_5,21
EPOCH_64_WELCH_1_EEG_BP_5_6,9
EPOCH_64_WELCH_1_EEG_BP_6_7,0
EPOCH_64_WELCH_1_EEG_BP_7_8,1
EPOCH_64_WELCH_1_EEG_BP_8_9,0
EPOCH_64_WELCH_1_EEG_BP_9_10,0
EPOCH_64_WELCH_1_EEG_BP_10_11,0
EPOCH_64_WELCH_1_EEG_BP_11_12,0
EPOCH_64_WELCH_1_EEG_BP_12_13,3
EPOCH_64_WELCH_1_EEG_BP_13_14,0
EPOCH_64_WELCH_1_EEG_BP_14_15,0
EPOCH_64_WELCH_1_EEG_BP_15_16,0
EPOCH_64_WELCH_1_EEG_BP_16_17,0
EPOCH_64_WELCH_1_EEG_BP_17_18,31
EPOCH_64_WELCH_1_EEG_BP_18_19,4
EPOCH_64_WELCH_1_EEG_BP_19_20,0
EPOCH_64_WELCH_1_EEG_BP_20_21,0
EPOCH_64_WELCH_1_EEG_BP_21_22,10
EPOCH_64_WELCH_1_EEG_BP_22_23,0
EPOCH_64_WELCH_1_EEG_BP_23_24,16
EPOCH_64_WELCH_1_EEG_BP_24_25,0
EPOCH_64_WELCH_1_EEG_BP_25_26,0
EPOCH_64_WELCH_1_EEG_BP_26_27,0
EPOCH_64_WELCH_1_EEG_BP_27_28,0
EPOCH_64_WELCH_1_EEG_BP_28_29,0
EPOCH_64_WELCH_1_EEG_BP_29_30,1
EPOCH_64_WELCH_1_EEG_BP_30_31,2
EPOCH_64_WELCH_1_EEG_abspow,0
EPOCH_64_WELCH_1_EEG_BP_0_0.5_std,0
EPOCH_64_WELCH_1_EEG_BP_0.5_1_std,0
EPOCH_64_WELCH_1_EEG_BP_1_2_std,0
EPOCH_64_WELCH_1_EEG_BP_2_3_std,0
EPOCH_64_WELCH_1_EEG_BP_3_4_std,35
EPOCH_64_WELCH_1_EEG_BP_4_5_std,2
EPOCH_64_WELCH_1_EEG_BP_5_6_std,10
EPOCH_64_WELCH_1_EEG_BP_6_7_std,2
EPOCH_64_WELCH_1_EEG_BP_7_8_std,0
EPOCH_64_WELCH_1_EEG_BP_8_9_std,0
EPOCH_64_WELCH_1_EEG_BP_9_10_std,2
EPOCH_64_WELCH_1_EEG_BP_10_11_std,3
EPOCH_64_WELCH_1_EEG_BP_11_12_std,0
EPOCH_64_WELCH_1_EEG_BP_12_13_std,20
EPOCH_64_WELCH_1_EEG_BP_13_14_std,6
EPOCH_64_WELCH_1_EEG_BP_14_15_std,0
EPOCH_64_WELCH_1_EEG_BP_15_16_std,0
EPOCH_64_WELCH_1_EEG_BP_16_17_std,0
EPOCH_64_WELCH_1_EEG_BP_17_18_std,0
EPOCH_64_WELCH_1_EEG_BP_18_19_std,0
EPOCH_64_WELCH_1_EEG_BP_19_20_std,0
EPOCH_64_WELCH_1_EEG_BP_20_21_std,0
EPOCH_64_WELCH_1_EEG_BP_21_22_std,5
EPOCH_64_WELCH_1_EEG_BP_22_23_std,10
EPOCH_64_WELCH_1_EEG_BP_23_24_std,0
EPOCH_64_WELCH_1_EEG_BP_24_25_std,0
EPOCH_64_WELCH_1_EEG_BP_25_26_std,0
EPOCH_64_WELCH_1_EEG_BP_26_27_std,0
EPOCH_64_WELCH_1_EEG_BP_27_28_std,0
EPOCH_64_WELCH_1_EEG_BP_28_29_std,0
EPOCH_64_WELCH_1_EEG_BP_29_30_std,18
EPOCH_64_WELCH_1_EEG_BP_30_31_std,0
EPOCH_64_WELCH_1_EEG_BP_0_0.5_relative,0
EPOCH_64_WELCH_1_EEG_BP_0.5_1_relative,0
EPOCH_64_WELCH_1_EEG_BP_1_2_relative,14
EPOCH_64_WELCH_1_EEG_BP_2_3_relative,121
EPOCH_64_WELCH_1_EEG_BP_3_4_relative,38
EPOCH_64_WELCH_1_EEG_BP_4_5_relative,143
EPOCH_64_WELCH_1_EEG_BP_5_6_relative,35
EPOCH_64_WELCH_1_EEG_BP_6_7_relative,0
EPOCH_64_WELCH_1_EEG_BP_7_8_relative,0
EPOCH_64_WELCH_1_EEG_BP_8_9_relative,1
EPOCH_64_WELCH_1_EEG_BP_9_10_relative,14
EPOCH_64_WELCH_1_EEG_BP_10_11_relative,0
EPOCH_64_WELCH_1_EEG_BP_11_12_relative,3
EPOCH_64_WELCH_1_EEG_BP_12_13_relative,8
EPOCH_64_WELCH_1_EEG_BP_13_14_relative,0
EPOCH_64_WELCH_1_EEG_BP_14_15_relative,0
EPOCH_64_WELCH_1_EEG_BP_15_16_relative,0
EPOCH_64_WELCH_1_EEG_BP_16_17_relative,13
EPOCH_64_WELCH_1_EEG_BP_17_18_relative,6
EPOCH_64_WELCH_1_EEG_BP_18_19_relative,0
EPOCH_64_WELCH_1_EEG_BP_19_20_relative,0
EPOCH_64_WELCH_1_EEG_BP_20_21_relative,0
EPOCH_64_WELCH_1_EEG_BP_21_22_relative,0
EPOCH_64_WELCH_1_EEG_BP_22_23_relative,1
EPOCH_64_WELCH_1_EEG_BP_23_24_relative,0
EPOCH_64_WELCH_1_EEG_BP_24_25_relative,0
EPOCH_64_WELCH_1_EEG_BP_25_26_relative,0
EPOCH_64_WELCH_1_EEG_BP_26_27_relative,0
EPOCH_64_WELCH_1_EEG_BP_27_28_relative,0
EPOCH_64_WELCH_1_EEG_BP_28_29_relative,1
EPOCH_64_WELCH_1_EEG_BP_29_30_relative,33
EPOCH_64_WELCH_1_EEG_BP_30_31_relative,0
EPOCH_64_WELCH_1_EEG_perm,0
EPOCH_64_WELCH_1_EEG_higuchi,13
EPOCH_64_WELCH_1_EEG_petrosian,21
EPOCH_64_WELCH_2_EEG_std,0
EPOCH_64_WELCH_2_EEG_iqr,0
EPOCH_64_WELCH_2_EEG_skew,0
EPOCH_64_WELCH_2_EEG_kurt,0
EPOCH_64_WELCH_2_EEG_nzc,0
EPOCH_64_WELCH_2_EEG_hmob,0
EPOCH_64_WELCH_2_EEG_hcomp,0
EPOCH_64_WELCH_2_EEG_BP_0_0.5,0
EPOCH_64_WELCH_2_EEG_BP_0.5_1,0
EPOCH_64_WELCH_2_EEG_BP_1_2,20
EPOCH_64_WELCH_2_EEG_BP_2_3,0
EPOCH_64_WELCH_2_EEG_BP_3_4,0
EPOCH_64_WELCH_2_EEG_BP_4_5,0
EPOCH_64_WELCH_2_EEG_BP_5_6,17
EPOCH_64_WELCH_2_EEG_BP_6_7,0
EPOCH_64_WELCH_2_EEG_BP_7_8,0
EPOCH_64_WELCH_2_EEG_BP_8_9,0
EPOCH_64_WELCH_2_EEG_BP_9_10,0
EPOCH_64_WELCH_2_EEG_BP_10_11,0
EPOCH_64_WELCH_2_EEG_BP_11_12,0
EPOCH_64_WELCH_2_EEG_BP_12_13,0
EPOCH_64_WELCH_2_EEG_BP_13_14,0
EPOCH_64_WELCH_2_EEG_BP_14_15,0
EPOCH_64_WELCH_2_EEG_BP_15_16,5
EPOCH_64_WELCH_2_EEG_BP_16_17,1
EPOCH_64_WELCH_2_EEG_BP_17_18,0
EPOCH_64_WELCH_2_EEG_BP_18_19,0
EPOCH_64_WELCH_2_EEG_BP_19_20,0
EPOCH_64_WELCH_2_EEG_BP_20_21,0
EPOCH_64_WELCH_2_EEG_BP_21_22,0
EPOCH_64_WELCH_2_EEG_BP_22_23,0
EPOCH_64_WELCH_2_EEG_BP_23_24,0
EPOCH_64_WELCH_2_EEG_BP_24_25,0
EPOCH_64_WELCH_2_EEG_BP_25_26,0
EPOCH_64_WELCH_2_EEG_BP_26_27,5
EPOCH_64_WELCH_2_EEG_BP_27_28,0
EPOCH_64_WELCH_2_EEG_BP_28_29,1
EPOCH_64_WELCH_2_EEG_BP_29_30,0
EPOCH_64_WELCH_2_EEG_BP_30_31,11
EPOCH_64_WELCH_2_EEG_abspow,0
EPOCH_64_WELCH_2_EEG_BP_0_0.5_std,4
EPOCH_64_WELCH_2_EEG_BP_0.5_1_std,0
EPOCH_64_WELCH_2_EEG_BP_1_2_std,0
EPOCH_64_WELCH_2_EEG_BP_2_3_std,0
EPOCH_64_WELCH_2_EEG_BP_3_4_std,1
EPOCH_64_WELCH_2_EEG_BP_4_5_std,10
EPOCH_64_WELCH_2_EEG_BP_5_6_std,47
EPOCH_64_WELCH_2_EEG_BP_6_7_std,0
EPOCH_64_WELCH_2_EEG_BP_7_8_std,0
EPOCH_64_WELCH_2_EEG_BP_8_9_std,7
EPOCH_64_WELCH_2_EEG_BP_9_10_std,0
EPOCH_64_WELCH_2_EEG_BP_10_11_std,0
EPOCH_64_WELCH_2_EEG_BP_11_12_std,73
EPOCH_64_WELCH_2_EEG_BP_12_13_std,0
EPOCH_64_WELCH_2_EEG_BP_13_14_std,0
EPOCH_64_WELCH_2_EEG_BP_14_15_std,0
EPOCH_64_WELCH_2_EEG_BP_15_16_std,0
EPOCH_64_WELCH_2_EEG_BP_16_17_std,0
EPOCH_64_WELCH_2_EEG_BP_17_18_std,0
EPOCH_64_WELCH_2_EEG_BP_18_19_std,0
EPOCH_64_WELCH_2_EEG_BP_19_20_std,0
EPOCH_64_WELCH_2_EEG_BP_20_21_std,0
EPOCH_64_WELCH_2_EEG_BP_21_22_std,0
EPOCH_64_WELCH_2_EEG_BP_22_23_std,0
EPOCH_64_WELCH_2_EEG_BP_23_24_std,0
EPOCH_64_WELCH_2_EEG_BP_24_25_std,0
EPOCH_64_WELCH_2_EEG_BP_25_26_std,0
EPOCH_64_WELCH_2_EEG_BP_26_27_std,0
EPOCH_64_WELCH_2_EEG_BP_27_28_std,0
EPOCH_64_WELCH_2_EEG_BP_28_29_std,0
EPOCH_64_WELCH_2_EEG_BP_29_30_std,0
EPOCH_64_WELCH_2_EEG_BP_30_31_std,0
EPOCH_64_WELCH_2_EEG_BP_0_0.5_relative,35
EPOCH_64_WELCH_2_EEG_BP_0.5_1_relative,0
EPOCH_64_WELCH_2_EEG_BP_1_2_relative,5
EPOCH_64_WELCH_2_EEG_BP_2_3_relative,62
EPOCH_64_WELCH_2_EEG_BP_3_4_relative,3
EPOCH_64_WELCH_2_EEG_BP_4_5_relative,2
EPOCH_64_WELCH_2_EEG_BP_5_6_relative,0
EPOCH_64_WELCH_2_EEG_BP_6_7_relative,3
EPOCH_64_WELCH_2_EEG_BP_7_8_relative,3
EPOCH_64_WELCH_2_EEG_BP_8_9_relative,0
EPOCH_64_WELCH_2_EEG_BP_9_10_relative,0
EPOCH_64_WELCH_2_EEG_BP_10_11_relative,0
EPOCH_64_WELCH_2_EEG_BP_11_12_relative,0
EPOCH_64_WELCH_2_EEG_BP_12_13_relative,0
EPOCH_64_WELCH_2_EEG_BP_13_14_relative,0
EPOCH_64_WELCH_2_EEG_BP_14_15_relative,0
EPOCH_64_WELCH_2_EEG_BP_15_16_relative,0
EPOCH_64_WELCH_2_EEG_BP_16_17_relative,0
EPOCH_64_WELCH_2_EEG_BP_17_18_relative,1
EPOCH_64_WELCH_2_EEG_BP_18_19_relative,0
EPOCH_64_WELCH_2_EEG_BP_19_20_relative,3
EPOCH_64_WELCH_2_EEG_BP_20_21_relative,0
EPOCH_64_WELCH_2_EEG_BP_21_22_relative,0
EPOCH_64_WELCH_2_EEG_BP_22_23_relative,0
EPOCH_64_WELCH_2_EEG_BP_23_24_relative,0
EPOCH_64_WELCH_2_EEG_BP_24_25_relative,0
EPOCH_64_WELCH_2_EEG_BP_25_26_relative,0
EPOCH_64_WELCH_2_EEG_BP_26_27_relative,2
EPOCH_64_WELCH_2_EEG_BP_27_28_relative,0
EPOCH_64_WELCH_2_EEG_BP_28_29_relative,0
EPOCH_64_WELCH_2_EEG_BP_29_30_relative,0
EPOCH_64_WELCH_2_EEG_BP_30_31_relative,0
EPOCH_64_WELCH_2_EEG_perm,0
EPOCH_64_WELCH_2_EEG_higuchi,0
EPOCH_64_WELCH_2_EEG_petrosian,0
EPOCH_64_WELCH_4_EEG_std,0
EPOCH_64_WELCH_4_EEG_iqr,0
EPOCH_64_WELCH_4_EEG_skew,0
EPOCH_64_WELCH_4_EEG_kurt,0
EPOCH_64_WELCH_4_EEG_nzc,0
EPOCH_64_WELCH_4_EEG_hmob,0
EPOCH_64_WELCH_4_EEG_hcomp,0
EPOCH_64_WELCH_4_EEG_BP_0_0.5,3
EPOCH_64_WELCH_4_EEG_BP_0.5_1,0
EPOCH_64_WELCH_4_EEG_BP_1_2,100
EPOCH_64_WELCH_4_EEG_BP_2_3,0
EPOCH_64_WELCH_4_EEG_BP_3_4,0
EPOCH_64_WELCH_4_EEG_BP_4_5,0
EPOCH_64_WELCH_4_EEG_BP_5_6,0
EPOCH_64_WELCH_4_EEG_BP_6_7,0
EPOCH_64_WELCH_4_EEG_BP_7_8,0
EPOCH_64_WELCH_4_EEG_BP_8_9,0
EPOCH_64_WELCH_4_EEG_BP_9_10,0
EPOCH_64_WELCH_4_EEG_BP_10_11,0
EPOCH_64_WELCH_4_EEG_BP_11_12,0
EPOCH_64_WELCH_4_EEG_BP_12_13,2
EPOCH_64_WELCH_4_EEG_BP_13_14,0
EPOCH_64_WELCH_4_EEG_BP_14_15,0
EPOCH_64_WELCH_4_EEG_BP_15_16,1
EPOCH_64_WELCH_4_EEG_BP_16_17,0
EPOCH_64_WELCH_4_EEG_BP_17_18,0
EPOCH_64_WELCH_4_EEG_BP_18_19,0
EPOCH_64_WELCH_4_EEG_BP_19_20,0
EPOCH_64_WELCH_4_EEG_BP_20_21,0
EPOCH_64_WELCH_4_EEG_BP_21_22,0
EPOCH_64_WELCH_4_EEG_BP_22_23,5
EPOCH_64_WELCH_4_EEG_BP_23_24,0
EPOCH_64_WELCH_4_EEG_BP_24_25,0
EPOCH_64_WELCH_4_EEG_BP_25_26,0
EPOCH_64_WELCH_4_EEG_BP_26_27,0
EPOCH_64_WELCH_4_EEG_BP_27_28,0
EPOCH_64_WELCH_4_EEG_BP_28_29,0
EPOCH_64_WELCH_4_EEG_BP_29_30,0
EPOCH_64_WELCH_4_EEG_BP_30_31,0
EPOCH_64_WELCH_4_EEG_abspow,0
EPOCH_64_WELCH_4_EEG_BP_0_0.5_std,2
EPOCH_64_WELCH_4_EEG_BP_0.5_1_std,6
EPOCH_64_WELCH_4_EEG_BP_1_2_std,0
EPOCH_64_WELCH_4_EEG_BP_2_3_std,0
EPOCH_64_WELCH_4_EEG_BP_3_4_std,19
EPOCH_64_WELCH_4_EEG_BP_4_5_std,2
EPOCH_64_WELCH_4_EEG_BP_5_6_std,0
EPOCH_64_WELCH_4_EEG_BP_6_7_std,1
EPOCH_64_WELCH_4_EEG_BP_7_8_std,0
EPOCH_64_WELCH_4_EEG_BP_8_9_std,7
EPOCH_64_WELCH_4_EEG_BP_9_10_std,3
EPOCH_64_WELCH_4_EEG_BP_10_11_std,0
EPOCH_64_WELCH_4_EEG_BP_11_12_std,4
EPOCH_64_WELCH_4_EEG_BP_12_13_std,0
EPOCH_64_WELCH_4_EEG_BP_13_14_std,1
EPOCH_64_WELCH_4_EEG_BP_14_15_std,0
EPOCH_64_WELCH_4_EEG_BP_15_16_std,0
EPOCH_64_WELCH_4_EEG_BP_16_17_std,8
EPOCH_64_WELCH_4_EEG_BP_17_18_std,0
EPOCH_64_WELCH_4_EEG_BP_18_19_std,0
EPOCH_64_WELCH_4_EEG_BP_19_20_std,0
EPOCH_64_WELCH_4_EEG_BP_20_21_std,0
EPOCH_64_WELCH_4_EEG_BP_21_22_std,0
EPOCH_64_WELCH_4_EEG_BP_22_23_std,0
EPOCH_64_WELCH_4_EEG_BP_23_24_std,0
EPOCH_64_WELCH_4_EEG_BP_24_25_std,0
EPOCH_64_WELCH_4_EEG_BP_25_26_std,0
EPOCH_64_WELCH_4_EEG_BP_26_27_std,0
EPOCH_64_WELCH_4_EEG_BP_27_28_std,0
EPOCH_64_WELCH_4_EEG_BP_28_29_std,0
EPOCH_64_WELCH_4_EEG_BP_29_30_std,0
EPOCH_64_WELCH_4_EEG_BP_30_31_std,1
EPOCH_64_WELCH_4_EEG_BP_0_0.5_relative,0
EPOCH_64_WELCH_4_EEG_BP_0.5_1_relative,0
EPOCH_64_WELCH_4_EEG_BP_1_2_relative,0
EPOCH_64_WELCH_4_EEG_BP_2_3_relative,61
EPOCH_64_WELCH_4_EEG_BP_3_4_relative,4
EPOCH_64_WELCH_4_EEG_BP_4_5_relative,0
EPOCH_64_WELCH_4_EEG_BP_5_6_relative,0
EPOCH_64_WELCH_4_EEG_BP_6_7_relative,0
EPOCH_64_WELCH_4_EEG_BP_7_8_relative,0
EPOCH_64_WELCH_4_EEG_BP_8_9_relative,0
EPOCH_64_WELCH_4_EEG_BP_9_10_relative,0
EPOCH_64_WELCH_4_EEG_BP_10_11_relative,0
EPOCH_64_WELCH_4_EEG_BP_11_12_relative,0
EPOCH_64_WELCH_4_EEG_BP_12_13_relative,0
EPOCH_64_WELCH_4_EEG_BP_13_14_relative,0
EPOCH_64_WELCH_4_EEG_BP_14_15_relative,0
EPOCH_64_WELCH_4_EEG_BP_15_16_relative,0
EPOCH_64_WELCH_4_EEG_BP_16_17_relative,0
EPOCH_64_WELCH_4_EEG_BP_17_18_relative,3
EPOCH_64_WELCH_4_EEG_BP_18_19_relative,1
EPOCH_64_WELCH_4_EEG_BP_19_20_relative,0
EPOCH_64_WELCH_4_EEG_BP_20_21_relative,0
EPOCH_64_WELCH_4_EEG_BP_21_22_relative,0
EPOCH_64_WELCH_4_EEG_BP_22_23_relative,9
EPOCH_64_WELCH_4_EEG_BP_23_24_relative,0
EPOCH_64_WELCH_4_EEG_BP_24_25_relative,0
EPOCH_64_WELCH_4_EEG_BP_25_26_relative,0
EPOCH_64_WELCH_4_EEG_BP_26_27_relative,1
EPOCH_64_WELCH_4_EEG_BP_27_28_relative,0
EPOCH_64_WELCH_4_EEG_BP_28_29_relative,0
EPOCH_64_WELCH_4_EEG_BP_29_30_relative,0
EPOCH_64_WELCH_4_EEG_BP_30_31_relative,0
EPOCH_64_WELCH_4_EEG_perm,0
EPOCH_64_WELCH_4_EEG_higuchi,0
EPOCH_64_WELCH_4_EEG_petrosian,0
EPOCH_64_WELCH_8_EEG_std,0
EPOCH_64_WELCH_8_EEG_iqr,0
EPOCH_64_WELCH_8_EEG_skew,0
EPOCH_64_WELCH_8_EEG_kurt,0
EPOCH_64_WELCH_8_EEG_nzc,0
EPOCH_64_WELCH_8_EEG_hmob,0
EPOCH_64_WELCH_8_EEG_hcomp,0
EPOCH_64_WELCH_8_EEG_BP_0_0.5,9
EPOCH_64_WELCH_8_EEG_BP_0.5_1,0
EPOCH_64_WELCH_8_EEG_BP_1_2,40
EPOCH_64_WELCH_8_EEG_BP_2_3,0
EPOCH_64_WELCH_8_EEG_BP_3_4,0
EPOCH_64_WELCH_8_EEG_BP_4_5,2
EPOCH_64_WELCH_8_EEG_BP_5_6,0
EPOCH_64_WELCH_8_EEG_BP_6_7,0
EPOCH_64_WELCH_8_EEG_BP_7_8,0
